Loại vàng,Giá mua,Giá bán,Thời gian cập nhật
SJC,32450.0,32900.0,2016-01-01 23:59:59
SJC,32450.0,32900.0,2016-01-02 23:59:59
SJC,32670.0,32920.0,2016-01-04 23:59:59
SJC,32640.0,32920.0,2016-01-05 23:59:59
SJC,32610.0,32890.0,2016-01-06 23:59:59
SJC,32740.0,33020.0,2016-01-07 23:59:59
SJC,32800.0,33100.0,2016-01-08 23:59:59
SJC,32800.0,33100.0,2016-01-09 23:59:59
SJC,32850.0,33150.0,2016-01-11 23:59:59
SJC,32800.0,33100.0,2016-01-12 23:59:59
SJC,32630.0,32890.0,2016-01-13 23:59:59
SJC,32650.0,32910.0,2016-01-14 23:59:59
SJC,32620.0,32880.0,2016-01-15 23:59:59
SJC,32660.0,32920.0,2016-01-16 23:59:59
SJC,32610.0,32870.0,2016-01-18 23:59:59
SJC,32600.0,32860.0,2016-01-19 23:59:59
SJC,32580.0,32840.0,2016-01-20 23:59:59
SJC,32640.0,32900.0,2016-01-21 23:59:59
SJC,32640.0,32900.0,2016-01-22 23:59:59
SJC,32640.0,32910.0,2016-01-23 23:59:59
SJC,32640.0,32910.0,2016-01-25 23:59:59
SJC,32660.0,32920.0,2016-01-26 23:59:59
SJC,32680.0,32950.0,2016-01-27 23:59:59
SJC,32680.0,32940.0,2016-01-28 23:59:59
SJC,32640.0,32910.0,2016-01-29 23:59:59
SJC,32630.0,32900.0,2016-01-30 23:59:59
SJC,32690.0,32950.0,2016-02-01 23:59:59
SJC,32730.0,33000.0,2016-02-02 23:59:59
SJC,32780.0,33050.0,2016-02-03 23:59:59
SJC,32930.0,33200.0,2016-02-04 23:59:59
SJC,33140.0,33440.0,2016-02-05 23:59:59
SJC,33140.0,33440.0,2016-02-06 23:59:59
SJC,33140.0,33440.0,2016-02-11 23:59:59
SJC,33500.0,34400.0,2016-02-12 23:59:59
SJC,33500.0,34400.0,2016-02-13 23:59:59
SJC,33600.0,34000.0,2016-02-15 23:59:59
SJC,33450.0,33800.0,2016-02-16 23:59:59
SJC,33350.0,33800.0,2016-02-17 23:59:59
SJC,33150.0,33500.0,2016-02-18 23:59:59
SJC,33100.0,33650.0,2016-02-19 23:59:59
SJC,33350.0,33650.0,2016-02-20 23:59:59
SJC,33150.0,33420.0,2016-02-22 23:59:59
SJC,33250.0,33500.0,2016-02-23 23:59:59
SJC,33400.0,33660.0,2016-02-24 23:59:59
SJC,33400.0,33650.0,2016-02-25 23:59:59
SJC,33350.0,33620.0,2016-02-26 23:59:59
SJC,33310.0,33560.0,2016-02-27 23:59:59
SJC,33340.0,33590.0,2016-02-29 23:59:59
SJC,33350.0,33630.0,2016-03-01 23:59:59
SJC,33320.0,33580.0,2016-03-02 23:59:59
SJC,33360.0,33610.0,2016-03-03 23:59:59
SJC,33850.0,34100.0,2016-03-04 23:59:59
SJC,33750.0,34000.0,2016-03-05 23:59:59
SJC,33770.0,34020.0,2016-03-07 23:59:59
SJC,33930.0,34180.0,2016-03-08 23:59:59
SJC,33720.0,33970.0,2016-03-09 23:59:59
SJC,33550.0,33800.0,2016-03-10 23:59:59
SJC,33750.0,34030.0,2016-03-11 23:59:59
SJC,33750.0,34000.0,2016-03-12 23:59:59
SJC,33690.0,33960.0,2016-03-14 23:59:59
SJC,33470.0,33750.0,2016-03-15 23:59:59
SJC,33420.0,33690.0,2016-03-16 23:59:59
SJC,33660.0,33930.0,2016-03-17 23:59:59
SJC,33690.0,33910.0,2016-03-18 23:59:59
SJC,33650.0,33900.0,2016-03-19 23:59:59
SJC,33480.0,33720.0,2016-03-21 23:59:59
SJC,33520.0,33750.0,2016-03-22 23:59:59
SJC,33400.0,33640.0,2016-03-23 23:59:59
SJC,33220.0,33460.0,2016-03-24 23:59:59
SJC,33160.0,33400.0,2016-03-25 23:59:59
SJC,33180.0,33430.0,2016-03-26 23:59:59
SJC,33090.0,33340.0,2016-03-28 23:59:59
SJC,33040.0,33290.0,2016-03-29 23:59:59
SJC,33110.0,33350.0,2016-03-30 23:59:59
SJC,33070.0,33320.0,2016-03-31 23:59:59
SJC,33070.0,33320.0,2016-04-01 23:59:59
SJC,33030.0,33280.0,2016-04-02 23:59:59
SJC,33000.0,33240.0,2016-04-04 23:59:59
SJC,33090.0,33340.0,2016-04-05 23:59:59
SJC,33000.0,33240.0,2016-04-06 23:59:59
SJC,33080.0,33340.0,2016-04-07 23:59:59
SJC,33030.0,33280.0,2016-04-08 23:59:59
SJC,33050.0,33300.0,2016-04-09 23:59:59
SJC,33200.0,33430.0,2016-04-11 23:59:59
SJC,33380.0,33630.0,2016-04-12 23:59:59
SJC,33290.0,33540.0,2016-04-13 23:59:59
SJC,33130.0,33380.0,2016-04-14 23:59:59
SJC,33050.0,33300.0,2016-04-15 23:59:59
SJC,33150.0,33400.0,2016-04-16 23:59:59
SJC,33150.0,33400.0,2016-04-18 23:59:59
SJC,33120.0,33370.0,2016-04-19 23:59:59
SJC,33220.0,33450.0,2016-04-20 23:59:59
SJC,33280.0,33500.0,2016-04-21 23:59:59
SJC,33220.0,33470.0,2016-04-22 23:59:59
SJC,33140.0,33390.0,2016-04-23 23:59:59
SJC,33100.0,33350.0,2016-04-25 23:59:59
SJC,33080.0,33330.0,2016-04-26 23:59:59
SJC,33150.0,33350.0,2016-04-27 23:59:59
SJC,33280.0,33540.0,2016-04-28 23:59:59
SJC,33690.0,33900.0,2016-04-29 23:59:59
SJC,33950.0,34300.0,2016-04-30 23:59:59
SJC,33950.0,34350.0,2016-05-02 23:59:59
SJC,33950.0,34350.0,2016-05-03 23:59:59
SJC,33830.0,34030.0,2016-05-04 23:59:59
SJC,33740.0,33950.0,2016-05-05 23:59:59
SJC,33840.0,34050.0,2016-05-06 23:59:59
SJC,34000.0,34240.0,2016-05-07 23:59:59
SJC,33850.0,34050.0,2016-05-09 23:59:59
SJC,33680.0,33900.0,2016-05-10 23:59:59
SJC,33830.0,34050.0,2016-05-11 23:59:59
SJC,33820.0,34020.0,2016-05-12 23:59:59
SJC,33940.0,34140.0,2016-05-13 23:59:59
SJC,33920.0,34120.0,2016-05-14 23:59:59
SJC,34010.0,34240.0,2016-05-16 23:59:59
SJC,33940.0,34180.0,2016-05-17 23:59:59
SJC,33920.0,34160.0,2016-05-18 23:59:59
SJC,33750.0,33980.0,2016-05-19 23:59:59
SJC,33780.0,34010.0,2016-05-20 23:59:59
SJC,33770.0,34000.0,2016-05-21 23:59:59
SJC,33700.0,33940.0,2016-05-23 23:59:59
SJC,33510.0,33730.0,2016-05-24 23:59:59
SJC,33190.0,33440.0,2016-05-25 23:59:59
SJC,33270.0,33500.0,2016-05-26 23:59:59
SJC,33160.0,33400.0,2016-05-27 23:59:59
SJC,33140.0,33390.0,2016-05-28 23:59:59
SJC,33090.0,33350.0,2016-05-30 23:59:59
SJC,33120.0,33360.0,2016-05-31 23:59:59
SJC,33210.0,33450.0,2016-06-01 23:59:59
